00:11:25.716 [main] INFO  🐳 [mysql:latest] - Container mysql:latest is starting: ff387ea3077fbce56913b53fb9ee95d54af01f74ec440a78f54e5b8e6593f5f3
00:11:25.791 [main] INFO  🐳 [mysql:latest] - Waiting for database connection to become available at jdbc:mysql://localhost:53956/spring-mysql-db using query 'SELECT 1'
00:11:38.140 [main] INFO  🐳 [mysql:latest] - Container is started (JDBC URL: jdbc:mysql://localhost:53956/spring-mysql-db)
00:11:38.140 [main] INFO  🐳 [mysql:latest] - Container mysql:latest started in PT13.1719S
00:11:38.550 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
00:11:38.596 [main] INFO  com.tan.labbackend.dao.CourseDAOTest - Starting CourseDAOTest using Java 16.0.2 on LAPTOP-RR0F39HJ with PID 1808 (started by Feihang Yang in D:\Code\Github_Desktop\2022 - course - coop\软件测试\SoftwareTesting-Demo\Backend)
00:11:38.602 [main] INFO  com.tan.labbackend.dao.CourseDAOTest - No active profile set, falling back to default profiles: default
00:11:40.046 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
00:11:40.128 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
00:11:40.340 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
00:11:40.518 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
00:11:41.358 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
00:11:41.381 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
00:11:41.838 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): com.tan.labbackend.entity.UserProjectId
00:11:41.839 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): com.tan.labbackend.entity.UserProjectId
00:11:42.374 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
00:11:43.726 [main] INFO  com.tan.labbackend.dao.CourseDAOTest - Started CourseDAOTest in 5.545 seconds (JVM running for 25.067)
00:11:44.426 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
00:11:44.588 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
01:23:39.044 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
01:23:39.146 [main] INFO  com.tan.labbackend.WebsocketTest - Starting WebsocketTest using Java 16.0.2 on LAPTOP-RR0F39HJ with PID 5568 (started by Feihang Yang in D:\Code\Github_Desktop\2022 - course - coop\软件测试\SoftwareTesting-Demo\Backend)
01:23:39.157 [main] INFO  com.tan.labbackend.WebsocketTest - No active profile set, falling back to default profiles: default
01:23:43.374 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
01:23:43.502 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
01:23:43.751 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
01:23:43.957 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
